Año,Territorio,Total de visitantes,Visitantes por museo,% Visitantes extranjeros por museo,% visitantes con entrada gratuita
2018,Aragón,1229214,16611,14,53
2018,España,65402970,44766,21,61
2016,Aragón,1212377,17320,17,58
2016,España,59909098,39833,24,64
2014,Aragón,1201279,17666,14,68
2014,España,58418342,39795,18,60
2012,Aragón,1203371,20748,11,88
2012,España,59020700,40315,25,60
2010,Aragón,1263790,20060,9,44
2010,España,56795479,38401,25,59
2008,Aragón,1239263,21004,11,74
2008,España,55594706,38209,22,58
2006,Aragón,1519444,24507,6,71
2006,España,52537433,39119,33,55
2004,Aragón,1011054,13663,,54
2004,España,47109837,38053,,53
2002,Aragón,498495,18463,,76
2002,España,39539325,34775,,55
2000,Aragón,602920,,,60
2000,España,38067315,,,56
